defect_id,title,status,origin,origin_phase,type,severity,detected_phase,detection_method,repository,date_detected,expected_behavior,observed_behavior,root_cause,related_issue,related_pr,related_workflow,related_commit,evidence,resolution,date_resolved,rework_actual_hours,rework_actual_is_estimate,rework_avoided_estimate_hours,escape_distance,ai_correct_spec_wrong,ai_context_update_required,engineering_journal_entry,case_study_candidate,retrospective,notes
DEF-0011,consulting-playbook AI_CONTEXT lagged the implemented #114 adapter,resolved,documentation-context,implementation,ai-context-drift,medium,retrospective,retrospective-audit,Young-Consultations/consulting-playbook,2026-08-12,"After issue #114 implementation, AI_CONTEXT.md reflects the resolved active adapter and does not instruct agents that the old fail-closed workflow still exists.","AI_CONTEXT.md lines 285-287 say codex-execute.yml still rejects every request and must be replaced by the issue #114 adapter, while the snapshot workflow already implements the two-input adapter, immutable schema pin, Codex execution, draft publication, and canonical result receiver.",Repository context was not reconciled after implementation changed the active workflow.,https://github.com/Young-Consultations/portfolio-tasks/issues/114,,.github/workflows/codex-execute.yml,,AI_CONTEXT.md; README.md; .github/workflows/codex-execute.yml; scripts/test_codex_execute_contract.py; issue #114 completion is preserved in related_issue.,Fixed in this consulting-playbook change by reconciling AI_CONTEXT.md and README.md with the implemented canonical adapter while preserving the separate mutable activation boundary.,2026-08-12,,,,5,false,true,true,true,true,"Resolved by this change after confirming issue #114 was completed; the discrepancy was documentation drift, not an unresolved architecture decision."
DEF-0012,Immutable activation baseline blocks every target when enabled,open,architecture-design,architecture-design,dependency-problem,high,acceptance-review,chatgpt-architecture-review,Young-Consultations/.github,2026-08-13,The immutable compatibility unit can validate at least one enabled target using an immutable published adapter reference.,At c6090e5 the registry stores every target workflow at @main while the router rejects enabled targets unless the workflow ref matches codex-adapter-vMAJOR.MINOR.PATCH; no core target publishes such a tag.,Registry release construction and validation established mutually unsatisfied activation prerequisites.,https://github.com/Young-Consultations/portfolio-tasks/issues/117,,,c6090e5bbadcc2102a1cb91875466e9decdada1e,config/codex-repositories.json and scripts/codex_router.py at c6090e5; repository tag inventories reviewed 2026-08-13.,Preserve c6090e5 as historical and publish a corrected immutable compatibility baseline with validated adapter tags.,,,,,4,true,true,true,true,false,High severity because issue #117 cannot enable any target without failing the baseline's own validation. The approved recovery is a compatibility repair rather than an activation-only repin.
DEF-0013,Router dispatch transport and target workflow triggers are incompatible,open,interface-integration,architecture-design,interface-mismatch,high,acceptance-review,chatgpt-architecture-review,Young-Consultations/.github,2026-08-13,The router can invoke the one supported target entry point with the canonical two-input contract.,"The router uses gh workflow run while portfolio-tasks, consulting-playbook, and Slugger expose codex-execute.yml only through workflow_call; control-plane verification simultaneously expects workflow_dispatch plus obsolete inputs.",The architecture and executable verification encoded incompatible transport interpretations for dynamic routing.,https://github.com/Young-Consultations/portfolio-tasks/issues/117,,,c6090e5bbadcc2102a1cb91875466e9decdada1e,.github/scripts/codex_router.py; scripts/verify_target_workflows.py; target codex-execute.yml files; GitHub workflow-dispatch contract.,Standardize the dynamic MVP target entry point on workflow_dispatch with exactly execution_input_json and concurrency_group and align all validation/docs.,,,,,4,true,true,true,true,false,High severity because the router cannot start three target workflows. This is an AI-correct/specification-wrong candidate: target implementations followed workflow_call-oriented local documents while the router implemented dynamic dispatch.
DEF-0014,Canonical result receiver contract crosses the trust boundary inconsistently,open,interface-integration,implementation,authentication-authorization-boundary,high,acceptance-review,chatgpt-architecture-review,Young-Consultations/.github,2026-08-13,All targets use one immutable receiver contract and the organization control plane owns trusted-author policy; targets provide only a narrowly scoped delivery credential.,"Three target calls omit the c6090e5 receiver's required CODEX_TRUSTED_JOURNAL_AUTHORS secret, while the .github target pins an older receiver; requiring target-supplied trust policy also assigns authorization policy to the caller boundary.","Receiver evolution and target updates were not migrated as one compatibility unit, and trust-policy ownership was placed in a target-supplied secret.",https://github.com/Young-Consultations/portfolio-tasks/issues/117,,,c6090e5bbadcc2102a1cb91875466e9decdada1e,.github/workflows/codex-result-receiver.yml at c6090e5 and all four target receiver call sites.,"Move trusted-author policy to immutable .github-owned configuration, converge on one receiver interface, and repin through the corrected baseline.",,,,,3,false,true,true,true,false,High severity because invalid reusable-workflow calls prevent result delivery and the current secret boundary permits caller-controlled trust policy.
DEF-0015,Closed conformance work produced false activation assurance,open,verification,unit-verification,false-positive-negative,high,acceptance-review,chatgpt-architecture-review,Young-Consultations/.github,2026-08-13,Issue #116 closes only after each real adapter runs the complete organization-owned TC-MVP-CI-001 oracle against the exact baseline with explicit no-real-effects evidence.,Organization compatibility validation passes with every target disabled and reports no tested targets; portfolio marks activation evidence insufficient; consulting runs a 2.2.0 26-case local fixture instead of the canonical 2.3.0 29-scenario oracle; Slugger tests vendored schemas that differ from c6090e5.,The verification design treated skipped or repository-defined checks as sufficient shared-oracle conformance and completion review did not enforce the issue's evidence criteria.,https://github.com/Young-Consultations/portfolio-tasks/issues/116,https://github.com/Young-Consultations/.github/pull/42,https://github.com/Young-Consultations/.github/actions/runs/31679643235,c6090e5bbadcc2102a1cb91875466e9decdada1e,Repository conformance reports and fixtures; control-plane compatibility verifier output; open conformance PRs #42/#131/#21/#107.,"Make skipped targets non-acceptance evidence, execute the exact shared oracle through each adapter, and publish explicit activation_evidence_sufficient results.",,,,,2,false,true,true,true,false,High severity because a green gate and closed dependency could authorize activation without testing any compatible target.
DEF-0016,portfolio-tasks target adapter diverges from canonical input and result schemas,resolved,implementation,implementation,schema-mismatch,high,acceptance-review,chatgpt-architecture-review,Young-Consultations/portfolio-tasks,2026-08-13,The portfolio target validates the mapping-form registry correctly and emits complete canonical execution-result/v2 fields and enums.,"Registry lookup iterates mapping values as though entries contained a repository field; result construction omits required lifecycle timestamps, uses noncanonical failure/status values, and the receiver call is incomplete.",The repository-local adapter implemented local assumptions instead of validating its producer and result builder against the exact shared schemas.,https://github.com/Young-Consultations/portfolio-tasks/issues/117,https://github.com/Young-Consultations/portfolio-tasks/pull/136,,42f01e40fd148c1d16aa93828921234a9cfa95da,"Merged portfolio PR #136; exact canonical target adapter and schemas; 29/29 TC-MVP-CI-001 scenarios; 22 real-adapter invocations; ten prohibited-effect counters at zero.",Replaced the divergent target path with the canonical two-input adapter and exact shared schema and fixture identities.,2026-08-15,,,,3,false,true,true,true,false,Resolved by merged PR #136. Immutable tags receiver verification credentials and activation remain separate gates.
DEF-0017,consulting-playbook target adapter and conformance fixture diverge from the canonical route,resolved,implementation,implementation,schema-mismatch,high,acceptance-review,chatgpt-architecture-review,Young-Consultations/consulting-playbook,2026-08-13,"The consulting target accepts the router's canonical payload/branch identity, emits execution-result/v2, and proves all canonical scenarios.","The target requires local task_id/project_component semantics and a consulting-codex branch while the router derives codex branches; it emits a local result shape, exposes only workflow_call, omits a receiver secret, and its report passes 26 local 2.2.0 cases rather than 29 canonical 2.3.0 scenarios.",Issue #114 implementation and local tests encoded a repository-defined compatibility model instead of executing the exact organization oracle end to end.,https://github.com/Young-Consultations/portfolio-tasks/issues/117,https://github.com/Young-Consultations/consulting-playbook/pull/25,https://github.com/Young-Consultations/consulting-playbook/actions/runs/31857176623,3ee195c0866b903b0f0b7ecb7bd48a8e0f697025,"Merged consulting PR #25 and green replacement conformance run 31857176623; 29/29 scenarios; 22 real-adapter invocations; ten prohibited-effect counters at zero.",Replaced the local workflow and oracle fork with the canonical two-input adapter receiver boundary and exact shared evidence pin.,2026-08-15,,,,3,false,true,true,true,false,Resolved at the repository target layer. Immutable tags receiver verification credentials and activation remain separate gates.
DEF-0018,Slugger target adapter validates obsolete vendored contract shapes,resolved,implementation,implementation,schema-mismatch,high,acceptance-review,chatgpt-architecture-review,Young-Consultations/slugger,2026-08-13,Slugger consumes the exact immutable execution-input/result schemas and produces canonical enums and fields through the dispatchable target interface.,"Slugger validates old nested mode/target/source/task payloads and old result fields/statuses; vendored schema blob identities differ from c6090e5, the workflow is workflow_call-only, and the receiver call is incomplete.",The local conformance suite treated copied historical schemas as authority instead of consuming the immutable organization baseline.,https://github.com/Young-Consultations/portfolio-tasks/issues/117,https://github.com/Young-Consultations/slugger/pull/108,https://github.com/Young-Consultations/slugger/actions/runs/32539564318,d9c7f414e2373d1269ebf0e02ebc4dbd1dc7ef11,Merged Slugger PR #108 plus corrective PR #111; current main passes the complete 29-scenario oracle with 22 real-adapter invocations and ten prohibited-effect counters at zero; adapter revision sha256:9dc5c57580741f60d3391436d1dcae09e4eaa3b7c1449988f2a98acdfbac3df8; report SHA-256 e7c418f93dd3d74a24911e05cbd41a4a75341470de597b96476d1cabd9e46357; green CI run 32539564318.,"Merged the canonical two-input target, exact v2 schemas and fixture oracle, organization receiver boundary, and final synchronized conformance pin/report.",2026-08-21,,,,3,false,true,true,true,false,"Resolved at the repository target layer by PRs #108 and #111. Immutable tag, registry binding, receiver verification, credentials, and activation remain separate gates."
DEF-0019,portfolio-tasks source routing lacks the reusable router permission set,resolved,configuration-workflow,implementation,permissions,high,integration-verification,github-actions-ci,Young-Consultations/portfolio-tasks,2026-08-13,The source workflow grants the least-privilege permissions required by the pinned reusable router and starts a job for an eligible request.,"Recent route-approved-task runs fail during workflow startup with zero jobs; the caller grants contents:read and issues:write while the called router requests actions:read, which a reusable workflow cannot elevate.",Caller and called-workflow permission requirements were not validated together at the GitHub Actions boundary.,https://github.com/Young-Consultations/portfolio-tasks/issues/117,https://github.com/Young-Consultations/portfolio-tasks/pull/136,https://github.com/Young-Consultations/portfolio-tasks/actions/runs/31754000425,42f01e40fd148c1d16aa93828921234a9cfa95da,Merged portfolio PR #136 adds the reusable router actions:read permission and repository regression coverage.,Added the least-privilege caller permission and validated the corrected source workflow in the merged recovery change.,2026-08-15,,,,2,false,false,true,true,false,Resolved by merged PR #136; live target dispatch remains disabled and was not used as resolution evidence.
DEF-0020,Conformance report was required to predict its containing commit SHA,resolved,architecture-design,architecture-design,dependency-problem,high,integration-verification,chatgpt-architecture-review,Young-Consultations/.github,2026-08-14,Target evidence is constructible before the final commit exists and is later bound independently to the immutable adapter tag commit and report digest.,The merged verifier required report.adapter_revision to equal registry.adapter_commit_sha while the report itself had to be committed at that adapter ref; writing a commit SHA into a file changes the tree and therefore changes the commit SHA.,The evidence model conflated a pre-commit content identity with the post-commit Git object identity and lacked a release-construction proof for the required artifact.,https://github.com/Young-Consultations/portfolio-tasks/issues/135,https://github.com/Young-Consultations/.github/pull/46,,b3df35f1d11da3bfed49f0e68b725f7f50936f10,Merged .github PR #46; ADR-015; config/mvp-conformance-pin.json; complete 29-scenario zero-effect report.,Use a canonical non-recursive pin over exact compatibility and target file identities; put that pin revision in the report; separately verify the adapter tag-to-commit binding and report SHA-256; reject self-including pins and reports.,2026-08-14,,,,3,false,false,true,true,false,"Resolved by merged PR #46. The evidence model is constructible; adapter tags, the final compatibility release, and activation remain separately gated."
DEF-0021,Compatibility verifier inferred idempotency from workflow keywords,resolved,verification,implementation,false-positive-negative,high,integration-verification,chatgpt-architecture-review,Young-Consultations/.github,2026-08-14,Compatibility accepts idempotency only when the complete shared oracle executes the exact adapter and harness blobs bound by the conformance pin.,"The live verifier searched the thin workflow wrapper for words such as preflight, ownership marker, create-race, and duplicate-reused even though behavior lived in a separately pinned adapter; comments could pass and a valid wrapper without them could fail.",Verification used a syntactic proxy at the transport layer after execution behavior moved behind a pinned adapter seam.,https://github.com/Young-Consultations/portfolio-tasks/issues/135,https://github.com/Young-Consultations/.github/pull/47,,4b0ff4f86429412261ee2887d11a1c124c397a8b,Merged .github PR #47; executable verifier regressions; complete pinned-adapter oracle; green AI-SDLC Contract Tests and AI-SDLC Target Compatibility.,Restricted static verification to the transport interface and required the exact pinned adapter plus complete zero-effect oracle for behavioral acceptance.,2026-08-14,,,,2,false,false,true,true,false,"Resolved by merged .github PR #47. No target, tag, receiver identity, release, or activation was created."
DEF-0022,Target preflight inferred branch ownership from pull requests,resolved,implementation,implementation,identity-idempotency-mismatch,high,integration-verification,chatgpt-architecture-review,Young-Consultations/.github,2026-08-14,"Before Codex, target preflight independently observes the deterministic branch and every pull request; any disagreement fails ambiguous-rejected without executor or publication effects.",The merged adapter queried pull requests by head branch but never queried branch existence. An orphaned branch produced an empty PR list and could rerun Codex before the later non-force push failed.,The dependency-injected ownership seam modeled only pull requests and incorrectly treated their absence as proof that the branch was absent.,https://github.com/Young-Consultations/portfolio-tasks/issues/135,https://github.com/Young-Consultations/.github/pull/47,,4b0ff4f86429412261ee2887d11a1c124c397a8b,Merged .github PR #47 and consulting-playbook PR #25; both adapters observe canonical branch plus all PR state before Codex and after create races; 29-case reports pass with zero effects.,Made branch existence and pull-request ownership one preflight observation; rejected disagreement before Codex and repeated the observation after create races.,2026-08-14,,,,2,false,false,true,true,false,Resolved in the central and first consumer adapters. The portfolio recovery candidate applies the same accepted rule; all targets remain disabled.
DEF-0023,portfolio-tasks source could not construct canonical task-contract/v2,resolved,implementation,implementation,schema-mismatch,high,integration-verification,chatgpt-architecture-review,Young-Consultations/portfolio-tasks,2026-08-14,The source emits exactly one schema-valid task-contract/v2 object whose safe task identity binds every authoritative routing field and current human approval.,"task_id contained owner/repository#issue@digest characters forbidden by the schema; construction omitted risk, scope, and created_by; arbitrary material fields were merged; issue-form values could normalize to unsupported task types.","The repository-local producer and issue-form vocabulary were tested against local assumptions instead of the exact shared task schema, and task identity hashed only a subset of routing authority.",https://github.com/Young-Consultations/portfolio-tasks/issues/135,https://github.com/Young-Consultations/portfolio-tasks/pull/136,,42f01e40fd148c1d16aa93828921234a9cfa95da,"Merged portfolio PR #136; exact task-contract/v2 producer validation; schema-safe identity binds material plus target mode executor dependencies and sensitivity; 114 repository tests pass.",Constructed and validated the exact closed task object with explicit human-form mappings and authority-complete identity.,2026-08-15,,,,2,false,true,true,true,false,Resolved by merged PR #136. Target activation and live execution remain separate gates.
DEF-0024,portfolio-tasks result projection bypassed the corrected receiver transport,resolved,interface-integration,implementation,authentication-authorization-boundary,high,integration-verification,chatgpt-architecture-review,Young-Consultations/portfolio-tasks,2026-08-14,The target gives only a result-delivery token to the organization receiver; the receiver validates the canonical v2 admission binding and forwards an authenticated bounded repository_dispatch that the source revalidates and projects idempotently.,The target directly invoked a source workflow_call with a target-held PORTFOLIO_RESULT_TOKEN; the source journal used the obsolete text marker rather than ai-sdlc-admission:v2 JSON and expected result fields outside the corrected canonical result shape.,"Target and source projection were coupled before receiver trust and forwarding ownership were corrected, while local tests asserted the obsolete closed loop instead of the organization receiver interface.",https://github.com/Young-Consultations/portfolio-tasks/issues/135,https://github.com/Young-Consultations/portfolio-tasks/pull/136,,42f01e40fd148c1d16aa93828921234a9cfa95da,"Merged portfolio PR #136; exact v2 admission journal; organization receiver repository_dispatch consumer; replay conflict quarantine and receiver allowlist tests.",Removed direct target-to-source invocation and source token; source projection now accepts only the bounded authenticated receiver event and revalidates schema and admission identity.,2026-08-15,,,,2,false,true,true,true,false,Resolved by merged PR #136. Live receiver verification credentials and activation remain separate release gates.
DEF-0025,Slugger publication token was exposed in Git process arguments,resolved,implementation,implementation,secrets-environment,high,acceptance-review,chatgpt-architecture-review,Young-Consultations/slugger,2026-08-15,Publication credentials are supplied only to the narrow publication subprocess and never appear in command arguments remote URLs helper files results or logs.,The former publisher constructed an authenticated remote URL containing the publication token and passed it to git push; its redaction pattern also did not cover github_pat_ tokens.,The publication implementation optimized for a self-contained authenticated URL and relied on incomplete output redaction instead of preventing credential placement in observable process arguments.,https://github.com/Young-Consultations/portfolio-tasks/issues/135,https://github.com/Young-Consultations/slugger/pull/108,https://github.com/Young-Consultations/slugger/actions/runs/32539564318,d9c7f414e2373d1269ebf0e02ebc4dbd1dc7ef11,"Merged Slugger PR #108 and current main use an anonymous HTTPS remote, secret-free askpass helper, publication-only credential environment, suppressed push output, and sanitized external failures; focused regressions and green CI run 32539564318 confirm the corrected boundary.",Removed token-bearing Git remote construction and separated anonymous discovery from the narrowly credentialed publication subprocess.,2026-08-21,,,,2,false,true,true,true,false,Resolved by merged PR #108 and revalidated after PR #111. No credential value was captured or published; live credential configuration remains a separate release gate.
DEF-0026,Slugger recovery merge left conformance pin and report out of sync,resolved,configuration-workflow,implementation,version-mismatch,medium,integration-verification,github-actions-ci,Young-Consultations/slugger,2026-08-21,"Any change to a target file bound by the non-recursive conformance pin atomically regenerates the exact target blob identity, adapter revision, and committed report before merge.",The final PR #108 head changed the adapter blob while retaining an older target-file blob identity and adapter revision in the pin and report; CI run 32506770178 failed conformance validation.,"The final adapter change and its derived evidence were not treated as one atomic change, and the recovery branch merged without a passing check on its final head.",https://github.com/Young-Consultations/portfolio-tasks/issues/135,https://github.com/Young-Consultations/slugger/pull/111,https://github.com/Young-Consultations/slugger/actions/runs/32506770178,d9c7f414e2373d1269ebf0e02ebc4dbd1dc7ef11,"PR #111 synchronized scripts/codex_target_adapter.py blob a590cc98b48cb29defd22d303ec7d45a013e5ea8, adapter revision sha256:9dc5c57580741f60d3391436d1dcae09e4eaa3b7c1449988f2a98acdfbac3df8, and the checked-in report; replacement CI run 32539564318 passed.",Regenerated the canonical pin and report from the exact final target blobs and required the corrected evidence to pass CI before immutable tagging.,2026-08-21,,,,2,false,true,true,true,false,Detected before immutable tag publication or target activation. Prevention requires pin/report regeneration whenever a bound target blob changes and a green check on the exact final head.
DEF-0027,Portfolio and Slugger conformance pins omitted the executed harness,resolved,verification,implementation,false-positive-negative,high,release-production,github-actions-ci,"Young-Consultations/portfolio-tasks; Young-Consultations/slugger",2026-08-21,Every immutable target evidence pin binds the exact report-producing harness and every organization-required minimum evidence file.,"Both 2.3.1 reports were locally green but their pins omitted scripts/run_tc_mvp_ci_001.py; the independent live verifier rejected both tags.","The target-local generator and validator shared an incomplete required-file set, so local consistency checks could not detect that the executed harness identity was absent.",https://github.com/Young-Consultations/portfolio-tasks/issues/135,"https://github.com/Young-Consultations/portfolio-tasks/pull/137 https://github.com/Young-Consultations/slugger/pull/112",https://github.com/Young-Consultations/.github/actions/runs/32551751500/job/96979533542,"a7b632eb6f51b750ed863c0f43353d6d931e8e5b; 797f239579bf56fbd5d11d98a1a6b5bad36d98a8","New immutable 2.3.2 tags bind the harness. Issue #135 checkpoint https://github.com/Young-Consultations/portfolio-tasks/issues/135#issuecomment-5382561301 records live compatibility verification passing for portfolio report SHA-256 9baf2c58d8e0ea055e01eee686610468ed739ae41768140d1e1cf2685092bba1 and Slugger report SHA-256 8283c78bc9dcea9c2424d0ca250ff6031abecd68495692dd809ee03e06060f3c; the exact successful Actions run URL is not preserved in this ledger entry.","Added the harness to each target pin and regression minimum set, regenerated revisions and reports, preserved 2.3.1 tags, and recorded new 2.3.2 evidence bindings.",2026-08-22,,,,4,false,true,true,true,false,"High severity because incomplete evidence escaped repository and PR checks into immutable published adapter tags and could have allowed release or activation acceptance without binding the executable harness that generated the report. Rework avoided estimate assumes prevention of post-activation emergency retag plus verifier/release reconciliation across two repositories at ~2 hours each (4 total). All targets stayed disabled; no credential, route, merge, deployment, or production action occurred."
DEF-0028,PR #32 workflow edit invalidated its conformance pin and report,open,configuration-workflow,implementation,version-mismatch,medium,integration-verification,github-actions-ci,Young-Consultations/consulting-playbook,2026-08-24,"Any change to a target file bound by the non-recursive conformance pin atomically regenerates the exact target blob identity, adapter revision, and committed report before merge.","PR #32 changed .github/workflows/codex-execute.yml while retaining the prior workflow blob identity and adapter revision in the pin/report; exact-head Immutable MVP conformance failed validate_pin.","The workflow change was treated as comment-only documentation even though the workflow file is cryptographically bound into target conformance evidence, repeating the prevention failure recorded in DEF-0026.",https://github.com/Young-Consultations/portfolio-tasks/issues/135,"https://github.com/Young-Consultations/consulting-playbook/pull/32 https://github.com/Young-Consultations/consulting-playbook/pull/33",https://github.com/Young-Consultations/consulting-playbook/actions/runs/32644743226/job/97475939235,4181b960ba1dc440e67b20de158110ba613ed3ca,"PR #32 exact-head conformance failed with conformance pin is invalid. Draft PR #33 recalculates the workflow blob to 8e93f377718587b79a4806947bb6dffed7fdd323 and adapter revision to sha256:609201fc28481fa67d39f63fa089c1b4ab064291fbcea634c578dfc4d58acd00; its workflow has not yet produced a passing job.","Merge the #33 repair into the #32 branch and require Immutable MVP conformance to pass on the exact final #32 head before main.",,,,,,2,false,false,false,true,true,"Medium severity because the recurrence blocks trustworthy merge evidence but was detected before immutable tagging, activation, credential use, dispatch, or production effects. This is a new defect instance rather than reopening DEF-0026 because it recurred in a different repository after the prevention rule already existed."
